,x,y,dis,around,renwu,任务标价,是否成功
2,42.88469058096302,-45.06939175812747,12.497077673137877,179,2,66.8217603691973,1
3,72.25113067342812,-46.364874763364746,18.860734761325173,0,2,70.92358025042866,1
4,42.2229806163334,-47.02566433328817,13.949324779411329,5,2,70.42084463191173,1
5,71.9186384033187,-47.013309007237524,18.770609483330784,1,2,70.89618997763313,1
7,42.82087686355016,-46.59434534527147,13.217418778796219,21,2,70.04082833986128,1
8,36.59622619870437,-53.56088120791044,22.243725036915187,5,2,71.10098545302705,1
17,36.88451941905329,-53.76310375573772,22.13643470514278,5,2,71.09218764582171,1
23,49.26653920963919,-48.876936250346354,10.0515037560906,7,2,70.06122330799943,1
24,47.12166943472014,-48.612757597553184,11.100124731107439,0,1,70.85421022795082,1
27,41.67005600945274,-48.22467919076006,15.035724271992235,6,1,71.05692939030337,1
30,60.687000217277294,-48.796297039754435,10.608963601916969,16,2,69.92693501535719,1
32,42.838354584783765,-47.899755644166675,13.877452684573846,110,1,68.88195112013506,1
34,60.721486117414734,-48.09321976008178,10.072241492228143,44,2,69.32292380236271,0
36,51.564400802423506,-25.104102927909796,15.403572497019605,3,1,71.14709294475561,1
37,90.45829536745977,-37.86228633158488,36.124933569056346,1,2,72.31924455266262,1
41,70.39190898346439,-38.53299555030783,16.071214724703747,20,2,70.2948396074257,1
42,74.24646855754479,-27.141048359571517,23.770837504688917,2,1,71.8532086753845,1
45,36.69556413392773,-21.491866153270177,25.79615650673632,25,2,70.99228483355238,0
46,72.22261847391998,-31.24724835880629,19.95327053232289,2,1,71.54016818365048,1
47,59.67385418137757,-38.96120835538369,5.415692551947688,12,2,69.58108678925971,1
48,67.23996013905297,-37.83186223238336,13.05260014846718,29,1,70.43431321217432,0
49,82.55668435669325,-32.53843227758903,29.180134877074124,5,1,72.23677105992009,1
52,85.97227603674123,-25.738500270268318,34.73353495870076,2,1,72.75214986661346,1
54,70.76026209166145,-37.86898900906494,16.519775978088298,25,2,70.23162163020324,0
55,78.89514328548503,-22.88096751849091,30.014073492691985,0,1,72.40515402640075,1
57,62.33021629264412,-32.09528138730715,11.361030496036536,0,1,70.875604500675,1
58,53.2482896312274,-42.01268809290075,2.1185997994260912,18,1,69.75772518355295,1
62,90.45829536745977,-37.86228633158488,36.124933569056346,1,2,72.31924455266262,1
63,77.99778734812631,-22.326942639116364,29.61846453916844,10,1,72.1727140922118,1
64,75.63814314214089,-28.81572886727328,24.10643520275462,16,1,71.60072768662589,0
65,69.83559842544226,-34.169715565973334,16.576109084751643,10,1,71.10324094494963,1
68,68.72781896723619,-36.14483129225392,14.89079147575888,32,2,69.95804490101223,0
69,28.70605972407729,-27.078671596773532,28.88019800161465,21,2,71.32517623613239,0
70,80.18979542643405,-29.545876993224056,27.909036511901018,7,1,72.09254099397589,1
71,52.02455612470573,-50.974349760201186,10.994456351847878,22,2,69.83854542085152,1
72,68.96919841993282,-36.57762620696661,15.01152114083802,14,2,70.3279447335487,1
73,55.754011217289744,-49.87973501888621,9.730540030892309,16,1,70.42190428253318,1
75,40.782263776175434,-36.88130581147858,14.037843096502005,5,2,70.42810313391317,1
77,28.70605972407729,-27.078671596773532,28.88019800161465,21,2,71.32517623613239,0
78,46.75175081758099,-26.589083361953104,15.655181775104621,0,1,71.22772490555859,1
79,51.83867411696411,-38.58229144391355,3.0621077735736293,7,2,69.48809283743303,1
80,49.940031052345724,-25.657539700401905,15.254820376629299,10,1,70.9948952708836,1
82,47.26728369792304,-33.08602766724475,10.112150138412574,16,1,70.45319631134984,1
84,28.565970456890593,-32.10418239788662,27.096798208659816,34,1,71.4859374531101,0
85,32.06930829337299,-25.145979284446145,26.964510489552833,9,1,71.97508986014333,1
87,38.77733106869589,-22.719988635458588,23.48331284385061,6,1,71.74963165319575,1
88,27.63779095914218,-30.699340618225115,28.42386416430721,7,2,71.56775686147319,1
89,44.46779548563549,-30.844393216739924,13.68221173950326,3,1,71.00594136263926,1
90,52.735292096908765,-36.68469800538928,3.9327691077174465,39,1,69.48648706683284,0
93,28.461321688462057,-30.39098303073471,27.75745058785667,6,2,71.53311094820424,1
94,33.82389388289954,-41.61085818817072,20.63339071264205,1,2,71.04893803843665,1
97,29.105903023719847,-34.12635651283988,26.03447977311343,5,2,71.41182734139531,1
99,51.147788639243885,-41.15517094244869,3.3893289113602076,5,1,70.12192497073154,1
101,40.09641043541939,-36.650936941181904,14.759023668369332,5,2,70.48723994080629,1
104,29.447535354086163,-34.31108312905674,25.659204977251694,5,2,71.38105480813464,1
106,39.447358578244454,-34.634262994576595,15.980762455819901,12,1,71.01442252137724,1
107,31.40930384094195,-31.31924043905086,24.672576768200337,17,1,71.62715129499243,0
109,40.10668929675346,-30.537164671310418,17.28656098000891,0,1,71.36149800036074,1
110,32.06922888875019,-38.73732250531042,22.393236092113135,0,1,71.78024535955328,1
112,51.18386005994212,-34.78181844939641,6.343160429659634,11,1,70.24413915523209,1
113,32.447567692654296,-42.87503944172599,22.12150890778704,15,2,70.89096373043853,1
114,28.002822387000883,-33.006311417501365,27.382374963577224,5,1,72.08935474701335,1
115,57.1481174168287,-30.584301172958455,10.038042876424312,19,1,70.3871195158668,1
117,33.96319396990459,-41.617383158014086,20.494836285265364,1,2,71.03757657539175,1
121,35.81509162304388,-44.46651593372009,19.07049876033055,2,2,70.9007808983471,1
124,32.453018608312945,-23.54760831525287,27.584406193795765,3,2,71.57892130789125,1
125,13.042855643269595,20.55142466016242,16.61425255143192,17,1,70.96636870921742,1
126,-15.323117346000059,20.308078316984265,0.0,24,1,69.464,1
128,-12.015280758643826,20.67339045557885,0.0,0,2,69.377,1
132,6.125957506146578,22.596765509280647,22.493495498485892,0,1,71.78846663087585,1
135,-13.355265185511644,24.101499656193248,0.0,1,1,69.924,1
136,-18.027569513611148,15.533172101052802,0.0,31,1,69.324,1
137,-16.618990205688302,24.15324071095673,0.0,18,1,69.584,1
138,1.1136748491382615,13.176569347701388,21.690660572620335,0,1,71.72263416695488,1
139,2.4430232893052772,15.79797284164637,21.447739866933038,2,1,71.6627146690885,1
145,-11.961190564186037,14.8060613378881,0.0,7,1,69.804,1
147,-8.593098578375267,14.125306093158326,0.0,20,2,68.97699999999999,1
148,-8.589752378442824,14.120943207666542,0.0,20,2,68.97699999999999,1
149,-9.027069967200722,23.128220792277016,0.0,0,1,69.944,1
151,-5.372598195763017,13.018727602379538,0.0,91,2,67.557,0
152,-11.015337778995715,10.794422181709876,0.0,0,1,69.944,1
153,0.6824859386694624,15.047027865496975,22.74567792811929,2,1,71.76914559010578,1
155,-5.139846483145401,13.16264004297133,0.0,91,2,67.557,0
156,-2.273415738861033,18.446041714298822,26.849735669731587,2,1,72.10567832491799,1
157,-25.36798644894103,7.263175320130902,0.0,11,2,69.157,1
158,-26.49743003822915,14.274411067729517,0.0,32,1,69.304,0
160,-19.418723149168866,45.994652676749155,0.0,0,1,69.944,1
161,-0.5989661371070452,12.081053725502365,23.02768630099155,4,1,71.75227027668132,1
162,-24.215718687970153,25.875277397731878,0.0,71,1,68.524,0
166,-34.056935779733784,28.29560155618211,0.0,0,1,69.944,1
