,任务号码,任务GPS纬度,任务GPS经度,x,y,label,length,around,renwu,dis,任务标价,是否成功
5,C0006,22.7539249283792,114.381925285972,86.26132508174834,-25.376537653365794,3,35.147939361814764,2,1,35.147939361814764,72.7861310276688,0
29,C0030,22.7365884258321,114.296177362868,77.50144216935458,-27.300889436093815,3,26.468987239837674,30,4,26.468987239837674,69.81345695366669,0
32,C0033,22.7365884258321,114.296177362868,77.50144216935458,-27.300889436093815,3,26.468987239837674,30,4,26.468987239837674,69.81345695366669,0
42,C0043,22.7261042929971,114.241421295152,71.90764205651158,-28.464628180778796,3,21.090621966566378,0,0,21.090621966566378,72.24043100125844,1
47,C0048,22.7380684217691,114.266446898194,74.46422120763748,-27.13660988708679,3,23.955261111281708,73,4,23.955261111281708,68.7473314111251,1
52,C0053,22.7223049561743,114.251412802387,72.92835988067127,-28.886354568109766,3,21.72134373552245,1,1,21.72134373552245,71.70515018631285,1
68,C0069,22.7381539176069,114.256910576734,73.4900044991668,-27.12711984909084,3,23.15127949483214,2,2,23.15127949483214,71.23540491857622,1
80,C0081,22.7202055922533,114.292028416702,77.07759187294704,-29.119383963340503,3,25.247838858668775,7,1,25.247838858668775,71.87432278641084,1
82,C0083,22.7870270954263,114.330873478941,81.04594684436238,-21.702197111137583,3,32.45161679158453,1,1,32.45161679158453,72.58503257690994,1
98,C0099,22.6996394875779,114.144557889688,62.012217658522594,-31.402221582309853,3,11.658087947327532,0,0,11.658087947327532,71.46696321168085,1
100,C0101,22.7468048847927,114.269344420344,74.76022784956189,-26.166862491467317,3,24.742111322811088,2,2,24.742111322811088,71.3658531284705,1
122,C0123,22.5582238632521,114.081880419361,55.60917859431567,-47.09935588247387,3,6.960900635817047,2,2,6.960900635817047,69.90779385213699,1
125,C0126,22.5771213422124,113.863895058584,33.34011168401642,-45.0017357178804,3,21.602568043452386,7,2,21.602568043452386,71.00841057956309,1
161,C0162,22.6076656627427,113.85855185387,32.794257674061015,-41.611316139017106,3,21.66089587464525,6,2,21.66089587464525,71.0331934617209,1
163,C0164,22.5651012392737,113.885871079708,35.58514998882692,-46.335967144075994,3,19.788336607575772,0,0,19.788336607575772,72.1336436018212,1
165,C0166,22.5870073763037,113.92316054989,39.394587941782696,-43.90438593374627,3,15.457344052968997,8,2,15.457344052968997,70.48450221234346,1
171,C0172,22.5896110235039,113.918916999578,38.96107302363289,-43.61538109452409,3,15.814694910835799,0,0,15.814694910835799,71.80780498268854,1
185,C0186,22.5554462408022,113.899186345176,36.94541811223928,-47.40767197441254,3,18.879085732033328,38,3,18.879085732033328,69.59808503002672,0
188,C0189,22.7469085876985,114.02461963424,49.759500200084474,-26.15535146892347,3,14.835218789321688,11,4,14.835218789321688,69.23948794072437,1
208,C0209,22.5648393883595,113.914270919465,38.48643624739096,-46.36503259555255,3,17.06187456874751,29,4,17.06187456874751,69.0620737146373,0
209,C0210,22.5664885374929,113.88112508287,35.10030586551195,-46.181977041744815,3,20.204363787327466,0,0,20.204363787327466,72.16775783056084,1
210,C0211,22.5347001431838,113.934484982603,40.55147549105666,-49.71048881005488,3,16.785653352770208,27,4,16.785653352770208,69.07942357492715,0
211,C0212,22.5635670746006,113.883479856018,35.34086606003354,-46.506259422790436,3,20.073377833994044,0,0,20.073377833994044,72.1570169823875,1
222,C0223,23.1556896728855,113.414429184985,-12.576667210655462,19.219348986833722,0,0.0,0,0,0.0,70.511,1
235,C0236,23.1630620678497,113.348986654841,-19.26218075780997,20.03768482785994,0,0.0,0,0,0.0,70.511,1
238,C0239,23.1740206603861,113.36582515357,-17.541984256868187,21.254088599400042,0,0.0,90,1,0.0,68.144,0
241,C0242,23.1719624673318,113.353351492567,-18.816275294129035,21.02562917037279,0,0.0,90,1,0.0,68.144,0
245,C0246,23.1912179032022,113.335667565287,-20.622839544276765,23.16298255198744,0,0.0,12,6,0.0,66.869,1
247,C0248,23.1210796042825,113.370599152387,-17.0542794921696,15.377631371900577,0,0.0,25,7,0.0,66.042,1
251,C0252,23.1630241001727,113.335031733867,-20.687795155906596,20.033470415712678,0,0.0,17,2,0.0,69.03699999999999,1
254,C0255,23.218508012637,113.385470000032,-15.535095359625243,26.19218469925001,0,0.0,14,3,0.0,68.53,1
256,C0257,23.2166450125323,113.391511000381,-14.917955564101721,25.98539168762846,0,0.0,11,2,0.0,69.157,1
262,C0263,23.2171910595958,113.384233722345,-15.661391687201387,26.046002911677125,0,0.0,14,3,0.0,68.53,1
263,C0264,23.2077430032348,113.387109341112,-15.367622662976933,24.997268655605904,0,0.0,15,2,0.0,69.077,1
270,C0271,23.13175467031,113.408301926646,-13.202618996781586,16.562563700952968,0,0.0,79,7,0.0,64.962,1
272,C0273,23.1225217925568,113.335543055652,-20.635559267210997,15.537714270347887,0,0.0,8,3,0.0,68.65,1
275,C0276,23.1615612343775,113.304000129358,-23.857938667753455,19.871092312445768,0,0.0,4,1,0.0,69.864,1
278,C0279,23.1307505546616,113.335756320566,-20.613772434266036,16.451106863980645,0,0.0,29,6,0.0,66.529,1
279,C0280,23.156182875043,113.312235008253,-23.016675435868454,19.27409442631624,0,0.0,4,1,0.0,69.864,1
282,C0283,23.2020938755295,113.405699278669,-13.468501722746165,24.37021548031754,0,0.0,1,1,0.0,69.924,1
286,C0287,23.2046780123776,113.432874000388,-10.692371738273927,24.657054670456603,0,0.0,1,1,0.0,69.924,1
