,索引项,美元指数,MSCI全球指数,标准普尔500指数,原油产量,总交易量
0,1,0.6347716956866977,0.6199505432453727,0.6422244066474858,0.6259154375153235,0.6738670803137822
1,2,0.7175518404153148,0.659006038424442,0.6870696335753602,0.6850203017529874,0.7861638396479034
2,3,0.7280655621851797,0.6932974486390694,0.707702873965479,0.7145450565307864,0.48209707975238886
3,4,0.7488656672731743,0.7808739647786833,0.8172599270824208,0.7408765754015598,0.931972545739722
4,5,0.8503066732533813,0.8837615888094199,0.9342429986270039,0.8305591358692815,0.9873332272752374
5,6,0.9533542855907607,0.9710469804764325,0.9116138947182163,0.9589091713782285,0.45386131587727513
6,7,1.0,0.944015604483198,0.8897014511395279,0.9951799332702033,0.5064516940370941
7,8,0.9081015216111551,0.9122780551766407,0.8649229530305552,0.9153490045627252,0.7047273419348465
8,9,0.9514019249201517,0.9137904875078475,0.8577615238422865,0.948810543958867,0.7660883878376767
9,10,0.8195284624708967,0.8432256868161166,0.8045452867476094,0.7931829321260285,0.44991939898053307
10,11,0.8735256499228804,0.8728285986784445,0.8348103251316765,0.8431310904805519,0.7946283972280536
11,12,0.9267591301891055,0.9900064721836308,0.9714346672598092,0.9649898020653188,0.7168176720745745
12,13,0.81494904232236,0.882631103774995,0.9059719388842784,0.8604897254584233,0.7465143092063485
13,14,0.7913745868261103,0.8747618516839697,0.8987741698436307,0.8089688315394534,0.5803000839430283
14,15,0.7514448831055797,0.8006901009365763,0.8173758496958734,0.7702052106084339,0.8711229048623027
15,16,0.7332642452213377,0.776445620889465,0.7834073509862168,0.7578546395413879,0.7044884512814322
16,17,0.7561905156429187,0.777893206040569,0.7804600584584825,0.7778680064567395,0.7502694388793029
17,18,0.8104089652155972,0.7999982841817233,0.8076147025214678,0.8331266978038638,0.5782215605102619
18,19,0.884341719527669,0.860638505163183,0.867750869181414,0.8112961826054423,0.8433457159091186
19,20,0.9095039407542973,0.9505165327620698,0.9508286662775288,0.8447347887988461,0.6369162296449482
20,21,0.9729604884268183,0.9830505537028654,0.9891527216264919,0.9020046293425438,0.872202430406639
21,22,0.970605689229125,0.9006969933571909,0.9105813945525625,0.9662758656614862,0.9053943835635485
22,23,0.9721446532609823,0.8668045728606533,0.8692596110729593,0.9707735945762307,0.7749232052503185
23,24,0.9506197519904152,0.8787509126931666,0.8741813467144488,0.9639763633130901,0.8924228354286335
24,25,0.7739725040354211,0.7590183031250322,0.7528145825587401,0.7952372546048727,0.7451291945700862
25,26,0.9209732347961044,0.8550205362869934,0.8619432534082416,0.9298654450012265,0.700114054872629
26,27,0.9144931580394107,0.8696619101102566,0.8738504964903759,0.9291832926501877,0.557931868211079
27,28,0.9092230026334995,0.952617546943902,0.9476865079804192,0.9567677019968028,0.585754506207839
28,29,0.9835795916866751,0.983376495350729,0.9825166222159304,0.9812685040600524,0.8634301150780135
29,30,0.9901372597686097,0.9936037349280049,0.9861435145208829,0.9696992457709256,0.8170057070148664
30,31,0.9106288796766757,0.9440529635438017,0.938022240497581,0.9592312931767452,0.6950761817195094
31,32,0.8969088878357017,0.9226392032576318,0.9137334100226253,0.934605406134596,0.8282171242753473
32,33,0.903390084764864,0.9238003137383125,0.8970099729961346,0.9500276329537548,0.6307217534485818
33,34,0.982701408784867,0.947134375988973,0.9133756506053228,0.9737188819830905,0.8756067231023955
34,35,0.9670600452870414,0.9878543468825168,0.9730826347078974,0.9510536493544478,0.6884502843684548
35,36,0.9887118691088089,0.9673897332209959,0.9961015572742429,0.9212406759064039,0.7828954232226187
36,37,0.9319306080699883,0.902661425794621,0.9348727822810142,0.8523066492085596,0.8864019394855698
37,38,0.8573160002992668,0.8517185493566065,0.8788425333627666,0.7893139493483102,0.9787073086395864
38,39,0.9011280688472098,0.9036832059149339,0.9231588806457809,0.8313834197984596,0.5639059618560657
39,40,0.8914943278418296,0.8683137736646676,0.8861909201759798,0.8216753254436753,0.8070748738936979
40,41,0.844087610548067,0.863558395247287,0.8784141911229836,0.8082027688677029,0.8994622690155228
41,42,0.8229820503806287,0.8303572386790659,0.8484449950702114,0.7824406649339974,0.8222482337176532
42,43,0.8289807683387033,0.8447897740678412,0.8655256142328249,0.7987231812242502,0.9836928742897773
43,44,0.7453920998198817,0.7864892296217414,0.8025893085297531,0.7286090933310191,0.6066085024250267
44,45,0.7698290321762652,0.8650093670668781,0.8890944132598976,0.7726022165247917,0.8856731486489388
45,46,0.7662932073779377,0.8712636970228906,0.8984744500976745,0.7654121665209962,0.5958014937633797
46,47,0.7827485832288323,0.8872199752234,0.930987088812681,0.7692238941370506,0.8299037017376522
47,48,0.8838500924074808,0.9959165977406754,0.9528152962959977,0.8622221447823162,0.5653182994384861
48,49,0.8857228967988467,0.9316060384930902,0.8986537581733073,0.8819348873511841,0.45222705971460614
49,50,0.8160757238146217,0.954022868770651,0.9945004103553005,0.9897163004844106,0.33343723427551897
50,51,0.7697728121271328,0.836863952812475,0.8843589099231925,0.9297854145492217,0.8780000195834529
51,52,0.7657019246377567,0.8276401812793295,0.869915618390555,0.9263852163876227,0.5687877538396863
